ManufacturerName,idManufacturer,WinItemName,WiseItemNumber,ProductNumber,ItemNumber,ItemStatus,MainframeDescription,CatalogNnumber,UPC,OrderNumber,SimilarityScore,ComodityNumber,IM09T_ID,ITEM_MASTER_NUMBER,VENDOR_ITEM_NUMBER,VENDOR_NUMBER
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,681036,1337ZMGL9004,36305,V001718
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,387541,1337ZMGL9003,7,V001937
MATCO-NORCA INC,12210,1 in. Male x Female Class 150 Galvanized Malleable Iron 90-Degree Street Elbow,1337MGLST9005,115086686,1440981,A,1 GALV 150 MI ST 90 ELBOW TH,MGLST9005,82647040397,MGLST9005,77.76,14,387587,1337ZMGLST9005,44077,V002045
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,387555,1337ZMGL9005,44012,V002045
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,387542,1337ZMGL9003,44010,V002045
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,387546,1337ZMGL9004,44011,V002045
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,438431,1337ZMGL9005,H85004,V002111
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,683619,1337ZMGL9005,770105,V002115
MATCO-NORCA INC,12210,1/2 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9003,115086681,1440974,A,1/2 GALV 150 MI 90 ELBOW TH,MGL9003,82647039612,MGL9003,69.88,15,683617,1337ZMGL9003,770103,V002115
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,683618,1337ZMGL9004,770104,V002115
MATCO-NORCA INC,12210,1 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9005,115086681,1440976,A,1 GALV 150 MI 90 ELBOW TH,MGL9005,82647039636,MGL9005,71.51,14,527194,1337ZMGL9005,GMNL0100,V002586
EVERFLOW SUPPLIES INC.,10281,3/4 in. MNPT x FNPT Galvanized Malleable Iron 90-degree Street Elbow,0018GMSN0034,115081337,6396731,A,3/4 150# GMI 90 ST ELL,GMSN0034,8.05E+11,GMSN0034,86.64,17,526759,1337ZMGLST9004,GMSN0034,V002586
MATCO-NORCA INC,12210,3/4 in. Female Class 150 Galvanized Malleable Iron 90-Degree Elbow,1337MGL9004,115086681,1440975,A,3/4 GALV 150 MI 90 ELBOW TH,MGL9004,82647039629,MGL9004,72.45,17,526732,1337ZMGL9004,GMNL0034,V002586
